Ref,Val,Package,PosX,PosY,Rot,Side
C1,100nF,C_0805_2012Metric,19.000000,-74.000000,0.000000,top
C2,100nF,C_0805_2012Metric,40.000000,-74.000000,0.000000,top
C3,100nF,C_0805_2012Metric,44.000000,-74.000000,0.000000,top
C4,100nF,C_0805_2012Metric,48.000000,-74.000000,0.000000,top
C5,100nF,C_0805_2012Metric,52.000000,-74.000000,0.000000,top
C13,10uF,C_0805_2012Metric,20.000000,-94.000000,0.000000,top
C14,10uF,C_0805_2012Metric,24.000000,-94.000000,0.000000,top
C15,10uF,C_0805_2012Metric,6.000000,-74.000000,90.000000,top
C16,10uF,C_0805_2012Metric,56.000000,-74.000000,0.000000,top
C17,10uF,C_0805_2012Metric,60.000000,-74.000000,0.000000,top
C18,10uF,C_0805_2012Metric,64.000000,-74.000000,0.000000,top
C19,100nF,C_0805_2012Metric,23.000000,-74.000000,0.000000,top
C20,100nF,C_0805_2012Metric,6.000000,-80.000000,90.000000,top
C21,100nF,C_0805_2012Metric,6.000000,-84.000000,90.000000,top
C22,100nF,C_0805_2012Metric,6.000000,-92.000000,90.000000,top
Card1,SMN-305,SMN-305_Nano_SIM,78.000000,-42.000000,0.000000,top
D1,ESD0P2RF-02LRH-TP,D_SOD-323,95.000000,-48.000000,0.000000,top
D2,ESD0P2RF-02LRH-TP,D_SOD-323,91.000000,-30.000000,0.000000,top
D3,BAT54HT1G,D_SOD-323,15.000000,-74.000000,0.000000,top
H1,825433-3,PinHeader_1x03_P2.54mm_Vertical,7.000000,-34.000000,90.000000,top
IC1,SIM7080G,LCC-42_SIM7080G,50.000000,-40.000000,0.000000,top
IC2,BQ24650RVAR,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,19.000000,-80.000000,0.000000,top
IC3,TPS63070RNMR,QFN-15-1EP_3x4mm_P0.5mm_EP1.45x2.45mm,48.000000,-80.000000,0.000000,top
IC4,MAX98357AETE+T,QFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm,58.000000,-64.000000,0.000000,top
J1,U.FL-R-SMT-1,U.FL_Hirose_U.FL-R-SMT-1_Vertical,95.000000,-38.000000,0.000000,top
J2,U.FL-R-SMT-1,U.FL_Hirose_U.FL-R-SMT-1_Vertical,95.000000,-30.000000,0.000000,top
J3,61300211121,PinHeader_1x02_P2.54mm_Vertical,62.000000,-68.000000,0.000000,top
L1,4.7uH,L_Taiyo-Yuden_NR-60xx_HandSoldering,14.000000,-88.000000,0.000000,top
L3,74437346015,L_APV_ANR4012,55.000000,-80.000000,0.000000,top
Q1,DMG9926UDM,SOT-23-6,26.000000,-80.000000,0.000000,top
Q2,AO3401A,SOT-23,36.000000,-29.000000,0.000000,top
Q3,2N7002,SOT-23,40.000000,-29.000000,0.000000,top
R1,10kΩ,R_0805_2012Metric,30.000000,-72.000000,90.000000,top
R2,100kΩ,R_0805_2012Metric,33.000000,-72.000000,90.000000,top
R3,10kΩ,R_0805_2012Metric,30.000000,-76.000000,90.000000,top
R4,10kΩ,R_0805_2012Metric,33.000000,-76.000000,90.000000,top
R5,10kΩ,R_0805_2012Metric,27.000000,-88.000000,90.000000,top
R10,10kΩ,R_0805_2012Metric,27.000000,-92.000000,90.000000,top
R11,1MΩ,R_0805_2012Metric,62.000000,-80.000000,90.000000,top
R12,180kΩ,R_0805_2012Metric,66.000000,-80.000000,90.000000,top
R13,4.7kΩ,R_0805_2012Metric,66.000000,-60.000000,0.000000,top
R14,4.7kΩ,R_0805_2012Metric,66.000000,-63.000000,0.000000,top
R15,100kΩ,R_0805_2012Metric,40.000000,-80.000000,90.000000,top
R16,100k,R_0805_2012Metric,32.000000,-29.000000,0.000000,top
R17,100k,R_0805_2012Metric,20.000000,-29.000000,0.000000,top
R18,100k,R_0805_2012Metric,42.000000,-52.000000,0.000000,top
R19,100k,R_0805_2012Metric,42.000000,-58.000000,0.000000,top
RSNS,20m,R_2512_6332Metric,33.000000,-88.000000,90.000000,top
U1,113991115,XIAO_ESP32S3_SENSE,17.500000,-15.000000,0.000000,top
U2,Ai-Thinker-Ra-01,Ai-Thinker-Ra-01-LoRa,83.500000,-15.000000,0.000000,top
U4,MCP23017_SO,SOIC-28W_7.5x17.9mm_P1.27mm,78.000000,-64.000000,90.000000,top
U5,SRV05-4-P-T7,SOT-23-6,92.000000,-64.000000,0.000000,top
