Ref,Qty,Value,Footprint,MPN,LCSC,Description
"R17,R22,R23",3,100k,Resistor_SMD:R_0805_2012Metric,,,
"R2,R15",2,100kΩ,Resistor_SMD:R_0805_2012Metric,,,
"C1,C2,C3,C4,C19,C20,C21,C22,C27,C28,C33",11,100nF,Capacitor_SMD:C_0805_2012Metric,,,
"R21,R24",2,10k,Resistor_SMD:R_0805_2012Metric,,,
"R1,R3,R4,R5,R10",5,10kΩ,Resistor_SMD:R_0805_2012Metric,,,
"C13,C14,C15,C16,C17,C18,C32",7,10uF,Capacitor_SMD:C_0805_2012Metric,,,
U1,1,113991115,warden_custom:XIAO_ESP32S3_SENSE,,,
R12,1,180kΩ,Resistor_SMD:R_0805_2012Metric,,,
R11,1,1MΩ,Resistor_SMD:R_0805_2012Metric,,,
C5,1,1uF,Capacitor_SMD:C_0805_2012Metric,,,
RSNS,1,20m,Resistor_SMD:R_2512_6332Metric,,,
"R13,R14",2,4.7kΩ,Resistor_SMD:R_0805_2012Metric,,,
L1,1,4.7uH,Inductor_SMD:L_Taiyo-Yuden_NR-60xx_HandSoldering,,,
C34,1,47uF,Capacitor_SMD:C_1206_3216Metric,,,
"TP1,TP2,TP3,TP4,TP5",5,5002,TestPoint:TestPoint_Pad_D1.5mm,,,
F1,1,500mA_PTC,Fuse:Fuse_0805_2012Metric,,,
J3,1,61300211121,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,,
R20,1,7.15k,Resistor_SMD:R_0805_2012Metric,,,
L3,1,74437346015,Inductor_SMD:L_APV_ANR4012,,,
H1,1,825433-3,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,,
U2,1,Ai-Thinker-Ra-01,RF_Module:Ai-Thinker-Ra-01-LoRa,,,
D3,1,BAT54HT1G,Diode_SMD:D_SOD-323,,,
IC2,1,BQ24650RVAR,Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,,,
Q1,1,DMG9926UDM,Package_TO_SOT_SMD:SOT-23-6,,,
D2,1,ESD0P2RF-02LRH-TP,Diode_SMD:D_SOD-323,,,
J4,1,Expansion_Header,Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical,,,
IC4,1,MAX98357AETE+T,Package_DFN_QFN:QFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm,,,
U4,1,MCP23017_SO,Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm,,,
J5,1,Qwiic,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,,,
IC3,1,TPS63070RNMR,warden_custom:QFN-15-1EP_3x4mm_P0.5mm_EP1.45x2.45mm,,,
J2,1,U.FL-R-SMT-1,Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical,,,
