Component Description,QTY,Ref Des,Mfg P/N #,Manufacturer,Distributor P/N #
"Non-Polarized Capacitor, 100nF, SMD_0805_2012Metric","9","C1,C19,C2,C20,C21,C22,C3,C4,C5","","",""
"Non-Polarized Capacitor, 10uF, SMD_0805_2012Metric","6","C13,C14,C15,C16,C17,C18","","",""
"SIM Card Connectors, SIM-SMD_SMN-305","1","Card1","SMN-305","XUNPU(讯普)",""
"TVS, X1-DFN1006-2_L1.0-W0.6-BI","2","D1,D2","ESD0P2RF-02LRH-TP","TECH PUBLIC(台舟)",""
"Diode, SOD-323","1","D3","BAT54HT1G","onsemi",""
"Pin Headers, HDR-TH_3P-P2.54-V-M","1","H1","825433-3","TE Connectivity(泰科电子)",""
"Integrated Circuit, LCC-SMD","1","IC1","SIM7080G","SIMCom Wireless Solutions Limited",""
"Integrated Circuit, VQFN-16","1","IC2","BQ24650RVAR","Texas Instruments Inc.",""
"Integrated Circuit, QFN","1","IC3","TPS63070RNMR","Texas Instruments Inc.",""
"Integrated Circuit, TQFN-16","1","IC4","MAX98357AETE+T","Analog Devices Inc./Maxim Integrated",""
"Connector, SMD","2","J1,J2","U.FL-R-SMT-1","Hirose Electric Co Ltd",""
"Connector, Through Hole","1","J3","61300211121","Wurth Elektronik",""
"Inductor, SMD","1","L3","74437346015","Würth",""
", SOT-23-6","1","Q1","DMG9926UDM","",""
"Resistor, 10kΩ, SMD_0805_2012Metric","5","R1,R10,R3,R4,R5","","",""
"Resistor, 1MΩ, SMD_0805_2012Metric","1","R11","","",""
"Resistor, 180kΩ, SMD_0805_2012Metric","1","R12","","",""
"Resistor, 4.7kΩ, SMD_0805_2012Metric","2","R13,R14","","",""
"Resistor, 100kΩ, SMD_0805_2012Metric","2","R15,R2","","",""
"Connector, Through Hole","5","TP1,TP2,TP3,TP4,TP5","5002","Keystone",""
"Microcontroller, Module","1","U1","113991115","seeed studio",""
" RF module, Module","1","U2","Ai-Thinker-Ra-01","Semtech",""
"Integrated Circuit, Mini-PCIe Module","1","U3","M138 Modem","SWARM",""
", SOIC-28W_7.5x17.9mm_P1.27mm","1","U4","MCP23017_SO","Microchip Technology Inc.",""
"Integrated Circuit, SOT-23-6","1","U5","SRV05-4-P-T7","ProTek Devices",""
