Reference designators,Quantity,MPN,Manufacturer,Part description,Value,SPN,Supplier,Package
"C1,C19,C2,C20,C21,C22,C3,C4,C5","9","","","Non-Polarized Capacitor, 100nF, SMD_0805_2012Metric","100nF","","",""
"C13,C14,C15,C16,C17,C18","6","","","Non-Polarized Capacitor, 10uF, SMD_0805_2012Metric","10uF","","",""
"Card1","1","SMN-305","XUNPU(讯普)","SIM Card Connectors, SIM-SMD_SMN-305","","","","SIM-SMD_SMN-305"
"D1,D2","2","ESD0P2RF-02LRH-TP","TECH PUBLIC(台舟)","TVS, X1-DFN1006-2_L1.0-W0.6-BI","","","","X1-DFN1006-2_L1.0-W0.6-BI"
"D3","1","BAT54HT1G","onsemi","Diode, SOD-323","","","",""
"H1","1","825433-3","TE Connectivity(泰科电子)","Pin Headers, HDR-TH_3P-P2.54-V-M","","","","HDR-TH_3P-P2.54-V-M"
"IC1","1","SIM7080G","SIMCom Wireless Solutions Limited","Integrated Circuit, LCC-SMD","","","",""
"IC2","1","BQ24650RVAR","Texas Instruments Inc.","Integrated Circuit, VQFN-16","","","",""
"IC3","1","TPS63070RNMR","Texas Instruments Inc.","Integrated Circuit, QFN","","","",""
"IC4","1","MAX98357AETE+T","Analog Devices Inc./Maxim Integrated","Integrated Circuit, TQFN-16","","","",""
"J1,J2","2","U.FL-R-SMT-1","Hirose Electric Co Ltd","Connector, SMD","","","",""
"J3","1","61300211121","Wurth Elektronik","Connector, Through Hole","","","",""
"L3","1","74437346015","Würth","Inductor, SMD","","","",""
"Q1","1","DMG9926UDM","",", SOT-23-6","","","","SOT-23-6"
"R1,R10,R3,R4,R5","5","","","Resistor, 10kΩ, SMD_0805_2012Metric","10kΩ","","",""
"R11","1","","","Resistor, 1MΩ, SMD_0805_2012Metric","1MΩ","","",""
"R12","1","","","Resistor, 180kΩ, SMD_0805_2012Metric","180kΩ","","",""
"R13,R14","2","","","Resistor, 4.7kΩ, SMD_0805_2012Metric","4.7kΩ","","",""
"R15,R2","2","","","Resistor, 100kΩ, SMD_0805_2012Metric","100kΩ","","",""
"TP1,TP2,TP3,TP4,TP5","5","5002","Keystone","Connector, Through Hole","","","",""
"U1","1","113991115","seeed studio","Microcontroller, Module","","","",""
"U2","1","Ai-Thinker-Ra-01","Semtech"," RF module, Module","","","",""
"U3","1","M138 Modem","SWARM","Integrated Circuit, Mini-PCIe Module","","","",""
"U4","1","MCP23017_SO","Microchip Technology Inc.",", SOIC-28W_7.5x17.9mm_P1.27mm","","","","SOIC-28W_7.5x17.9mm_P1.27mm"
"U5","1","SRV05-4-P-T7","ProTek Devices","Integrated Circuit, SOT-23-6","","","",""
