Item #,Designator,Qty,Manufacturer,Mfg Part #,Description / Value,Package/Footprint,Type,Your Instructions / Notes
"1","C1,C19,C2,C20,C21,C22,C3,C4,C5","9","","","Non-Polarized Capacitor, 100nF, SMD_0805_2012Metric","","",""
"2","C13,C14,C15,C16,C17,C18","6","","","Non-Polarized Capacitor, 10uF, SMD_0805_2012Metric","","",""
"3","Card1","1","XUNPU(讯普)","SMN-305","SIM Card Connectors, SIM-SMD_SMN-305","SIM-SMD_SMN-305","",""
"4","D1,D2","2","TECH PUBLIC(台舟)","ESD0P2RF-02LRH-TP","TVS, X1-DFN1006-2_L1.0-W0.6-BI","X1-DFN1006-2_L1.0-W0.6-BI","",""
"5","D3","1","onsemi","BAT54HT1G","Diode, SOD-323","","",""
"6","H1","1","TE Connectivity(泰科电子)","825433-3","Pin Headers, HDR-TH_3P-P2.54-V-M","HDR-TH_3P-P2.54-V-M","",""
"7","IC1","1","SIMCom Wireless Solutions Limited","SIM7080G","Integrated Circuit, LCC-SMD","","",""
"8","IC2","1","Texas Instruments Inc.","BQ24650RVAR","Integrated Circuit, VQFN-16","","",""
"9","IC3","1","Texas Instruments Inc.","TPS63070RNMR","Integrated Circuit, QFN","","",""
"10","IC4","1","Analog Devices Inc./Maxim Integrated","MAX98357AETE+T","Integrated Circuit, TQFN-16","","",""
"11","J1,J2","2","Hirose Electric Co Ltd","U.FL-R-SMT-1","Connector, SMD","","",""
"12","J3","1","Wurth Elektronik","61300211121","Connector, Through Hole","","",""
"13","L3","1","Würth","74437346015","Inductor, SMD","","",""
"14","Q1","1","","DMG9926UDM",", SOT-23-6","SOT-23-6","",""
"15","R1,R10,R3,R4,R5","5","","","Resistor, 10kΩ, SMD_0805_2012Metric","","",""
"16","R11","1","","","Resistor, 1MΩ, SMD_0805_2012Metric","","",""
"17","R12","1","","","Resistor, 180kΩ, SMD_0805_2012Metric","","",""
"18","R13,R14","2","","","Resistor, 4.7kΩ, SMD_0805_2012Metric","","",""
"19","R15,R2","2","","","Resistor, 100kΩ, SMD_0805_2012Metric","","",""
"20","TP1,TP2,TP3,TP4,TP5","5","Keystone","5002","Connector, Through Hole","","",""
"21","U1","1","seeed studio","113991115","Microcontroller, Module","","",""
"22","U2","1","Semtech","Ai-Thinker-Ra-01"," RF module, Module","","",""
"23","U3","1","SWARM","M138 Modem","Integrated Circuit, Mini-PCIe Module","","",""
"24","U4","1","Microchip Technology Inc.","MCP23017_SO",", SOIC-28W_7.5x17.9mm_P1.27mm","SOIC-28W_7.5x17.9mm_P1.27mm","",""
"25","U5","1","ProTek Devices","SRV05-4-P-T7","Integrated Circuit, SOT-23-6","","",""
