Designator,Mid X,Mid Y,Layer,Rotation,Package,Value
"C1","-22.7756mm","-55.0343mm","Top",0,"SMD_0805_2012Metric","100nF"
"C2","3.6668mm","11.1848mm","Top",0,"SMD_0805_2012Metric","100nF"
"C3","-10.7059mm","-24.0349mm","Top",0,"SMD_0805_2012Metric","100nF"
"C4","-17.0618mm","27.4585mm","Top",0,"SMD_0805_2012Metric","100nF"
"C5","-10.3959mm","-27.3856mm","Top",0,"SMD_0805_2012Metric","100nF"
"C13","-14.0483mm","-27.5307mm","Top",0,"SMD_0805_2012Metric","10uF"
"C14","-33.4711mm","-29.101mm","Top",0,"SMD_0805_2012Metric","10uF"
"C15","-24.0822mm","-52.5833mm","Top",0,"SMD_0805_2012Metric","10uF"
"C16","-2.8613mm","-17.9869mm","Top",0,"SMD_0805_2012Metric","10uF"
"C17","-2.9512mm","-20.6594mm","Top",0,"SMD_0805_2012Metric","10uF"
"C18","1.7455mm","-5.8318mm","Top",0,"SMD_0805_2012Metric","10uF"
"C19","-6.9354mm","-47.2309mm","Top",0,"SMD_0805_2012Metric","100nF"
"C20","-27.4264mm","-61.9343mm","Top",0,"SMD_0805_2012Metric","100nF"
"C21","15.6836mm","14.0068mm","Top",0,"SMD_0805_2012Metric","100nF"
"C22","26.705mm","31.1644mm","Top",0,"SMD_0805_2012Metric","100nF"
"Card1","4.6209mm","28.5231mm","Top",0,"SIM-SMD_SMN-305",""
"D1","18.454mm","28.853mm","Top",0,"X1-DFN1006-2_L1.0-W0.6-BI",""
"D2","-32.0579mm","-51.5223mm","Top",0,"X1-DFN1006-2_L1.0-W0.6-BI",""
"D3","4.4018mm","-18.8517mm","Top",0,"SOD-323",""
"H1","-8.6175mm","52.2298mm","Top",0,"HDR-TH_3P-P2.54-V-M",""
"IC1","12.5451mm","54.2094mm","Top",0,"LCC-SMD",""
"IC2","-6.2307mm","-55.1277mm","Top",0,"VQFN-16",""
"IC3","15.6988mm","22.923mm","Top",0,"QFN",""
"IC4","-40.9887mm","-20.2212mm","Top",0,"TQFN-16",""
"J1","24.641mm","9.7987mm","Top",0,"SMD",""
"J2","3.1192mm","33.6995mm","Top",0,"SMD",""
"J3","-3.3344mm","-7.9145mm","Top",0,"Through Hole",""
"L3","-8.5927mm","-42.0415mm","Top",0,"SMD",""
"Q1","7.113mm","3.6335mm","Top",0,"SOT-23-6",""
"R1","5.3085mm","-28.8264mm","Top",0,"SMD_0805_2012Metric","10kΩ"
"R2","27.4413mm","-14.3692mm","Top",0,"SMD_0805_2012Metric","100kΩ"
"R3","23.9058mm","46.8813mm","Top",0,"SMD_0805_2012Metric","10kΩ"
"R4","-4.0369mm","17.4836mm","Top",0,"SMD_0805_2012Metric","10kΩ"
"R5","-3.3814mm","-20.8311mm","Top",0,"SMD_0805_2012Metric","10kΩ"
"R10","-2.326mm","-24.4042mm","Top",0,"SMD_0805_2012Metric","10kΩ"
"R11","26.3165mm","13.0311mm","Top",0,"SMD_0805_2012Metric","1MΩ"
"R12","10.7598mm","-4.0103mm","Top",0,"SMD_0805_2012Metric","180kΩ"
"R13","21.953mm","16.2416mm","Top",0,"SMD_0805_2012Metric","4.7kΩ"
"R14","25.0748mm","34.2573mm","Top",0,"SMD_0805_2012Metric","4.7kΩ"
"R15","-2.2417mm","-3.1314mm","Top",0,"SMD_0805_2012Metric","100kΩ"
"TP1","-3.6107mm","10.4073mm","Top",0,"Through Hole",""
"TP2","7.6507mm","35.2804mm","Top",0,"Through Hole",""
"TP3","-2.7102mm","-13.661mm","Top",0,"Through Hole",""
"TP4","16.0203mm","17.7156mm","Top",0,"Through Hole",""
"TP5","40.0037mm","47.3095mm","Top",0,"Through Hole",""
"U1","-2.6164mm","65.8264mm","Top",0,"Module",""
"U2","-37.0308mm","-40.0785mm","Top",0,"Module",""
"U3","-8.1969mm","28.3091mm","Top",0,"Mini-PCIe Module",""
"U4","27.1793mm","59.7904mm","Top",0,"SOIC-28W_7.5x17.9mm_P1.27mm",""
"U5","-5.0714mm","36.2322mm","Top",0,"SOT-23-6",""
